,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,year
1983_Machine Learning_An Artificial Intelligence Approach_Michalski_Carbonell_Mitchell,5.617662300686422e-06,0.9903310866124588,5.619044629262438e-06,5.618734913419601e-06,5.617662300686422e-06,0.009623965402031429,5.618804475831744e-06,5.6184971429426635e-06,5.618530608712541e-06,5.619049138008424e-06,1983
1986_Macine Learning_ An Artificial Intelligence Approach_Anderson_Carbonell_Mitchell,6.2944549414523685e-06,6.296249543606568e-06,6.295336133448761e-06,6.295509319025268e-06,6.2944549414523685e-06,0.9999433422525512,6.295604173057703e-06,6.295186981465006e-06,6.295146300253865e-06,6.295805115090857e-06,1986
1995_Artificial Intelligence A Modern Approach_Russell_Norvig_ed1,2.2824798761485908e-06,2.2831282339927447e-06,2.2829786925887097e-06,2.2830789050890137e-06,2.2824798761485908e-06,2.2831726926104605e-06,2.283117354865591e-06,2.28298389473157e-06,2.2829771353774342e-06,0.9999794536033384,1995
1997_Machine_Learning_Tom_Mitchell,8.486083510067666e-06,0.20653672002563184,0.18413849981903332,8.488605554395479e-06,8.486083510067666e-06,8.488173761068313e-06,0.006946064772115485,0.10379568879710464,0.03988638252376658,0.4586626951160126,1997
2002_Artificial Intelligence_A Modern Approach_Russell_Norvig_ed2,3.177629708794258e-05,3.178299221652956e-05,3.1781156533274216e-05,3.17842217074988e-05,3.177629708794258e-05,3.1782271735969394e-05,3.178624114957687e-05,3.178052828793682e-05,3.178119447832332e-05,0.999713968799715,2002
2006_Bishop-Pattern-Recognition-and-Machine-Learning,3.8806319619888686e-06,3.881096409013739e-06,3.88145548836425e-06,3.881201615076124e-06,3.8806319619888686e-06,3.881192067832668e-06,3.881208579571647e-06,3.882171703775499e-06,0.9999650692823246,3.881127887729639e-06,2006
2010_Artificial Intelligence A Modern Approach_Russell_Norvig_ed3,1.4626299350921314e-06,1.463054461816203e-06,1.4630163147363034e-06,0.0011215421255687886,1.4626299350921314e-06,1.4629953199873385e-06,0.9866495498489797,1.4630330788970743e-06,1.463038197508329e-06,0.012218667628208352,2010
2012_Machine Learning_ A Probabilistic Perspective_Murphy,2.1838831135613486e-06,2.184354767841465e-06,2.184471253141428e-06,2.184457836513323e-06,2.1838831135613486e-06,2.184298441158817e-06,2.184432105843736e-06,0.9983598771254485,0.0016226487063116452,2.1843876080265097e-06,2012
"2014_Artificial intelligence a modern approach_Norvig, PeterRussell, Stuart J",1.5219079988591567e-06,1.5223354309809023e-06,1.522436308429836e-06,0.05867286085281003,1.5219079988591567e-06,5.8370367978495255e-05,0.9213309662234789,1.522327261226662e-06,1.5223170737590853e-06,0.019928669323660456,2014
2014_understanding-machine-learning-theory-algorithms,7.780285018395785e-06,7.78093266682137e-06,0.9999299705566392,7.781124983360823e-06,7.780285018395785e-06,7.780896053094777e-06,7.7811151504252e-06,7.781902095361037e-06,7.781926291400398e-06,7.78097608345735e-06,2014
2022_Artificial Intelligence A Modern Approach_Russell_Norvig_ed4,1.363549714782671e-06,1.363944364068101e-06,1.3639329459790722e-06,0.9012393705712671,1.363549714782671e-06,1.3638836078568623e-06,0.08229680930282157,1.363941998896141e-06,1.3639549970483983e-06,0.016454273368567765,2022
